timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
163110,T_9698429244,S_153587416,0.1.2,db,MS_71712,MS_71712_POD_62,SgaeD-FAvG:TDDL_QUERY,MS_37640,MS_37640_POD_54,1.0
171415,T_20577387353,S_153587416,0.1.2,db,MS_71712,MS_71712_POD_86,SgaeD-FAvG:TDDL_QUERY,MS_37640,MS_37640_POD_16,1.0
172148,T_21939972269,S_153587416,0.1.2,db,MS_71712,MS_71712_POD_280,GOtlFS2se9:TDDL_QUERY,MS_37640,MS_37640_POD_29,1.0
5182,T_7608251811,S_35643505,0,http,USER,USER,ims8Xmuk2m,MS_30021,MS_30021_POD_19,1.0
64214,T_15331185148,S_35643505,0,http,USER,USER,ims8Xmuk2m,MS_30021,MS_30021_POD_25,0.0
83901,T_5859517605,S_35643505,0,http,USER,USER,ims8Xmuk2m,MS_30021,MS_30021_POD_12,0.0
127544,T_21939877558,S_35643505,0,http,USER,USER,ims8Xmuk2m,MS_30021,MS_30021_POD_6,1.0
157378,T_21939872828,S_35643505,0,http,USER,USER,ims8Xmuk2m,MS_30021,MS_30021_POD_23,1.0
157379,T_21939872828,S_35643505,0.1,rpc,MS_30021,MS_30021_POD_23,CDylENBELk,MS_30021,MS_30021_POD_23,7.0
157379,T_21939872828,S_35643505,0.1,rpc,MS_30021,MS_30021_POD_23,CDylENBELk,MS_30021,MS_30021_POD_23,7.0
5183,T_7608251811,S_35643505,0.1,rpc,MS_30021,MS_30021_POD_19,snsuYvBcih,MS_66857,MS_66857_POD_320,10.0
5185,T_7608251811,S_35643505,0.1,rpc,MS_30021,MS_30021_POD_19,snsuYvBcih,MS_66857,MS_66857_POD_320,9.0
5187,T_7608251811,S_35643505,0.1.3.1,mc,MS_19352,MS_19352_POD_2,HSb4K_JCB8,MS_60125,MS_60125_POD_5,0.0
5187,T_7608251811,S_35643505,0.1.3.2,mc,MS_19352,MS_19352_POD_2,HSb4K_JCB8,MS_60125,MS_60125_POD_119,1.0
8328,T_12849150914,S_129567644,0.1.1.2.34.2,mc,MS_11245,MS_11245_POD_339,DqhrtBes7F,MS_60125,UNKNOWN,1.0
8329,T_12849150914,S_129567644,0.1.1.2.34.2.1,mc,MS_11245,MS_11245_POD_339,DqhrtBes7F,MS_60125,MS_60125_POD_199,0.0
8329,T_12849150914,S_129567644,0.1.1.2.34.2.6,mc,MS_11245,MS_11245_POD_339,DqhrtBes7F,MS_60125,MS_60125_POD_115,0.0
137163,T_15330968401,S_142038902,0.1.1.11,mc,MS_36151,MS_36151_POD_33,RCBzjnv4Bo,MS_60125,MS_60125_POD_243,1.0
